K,fold,baseline_SR,fuzzy_a5_SR,fuzzy_a5_delta,fuzzy_a10_SR,fuzzy_a10_delta,fuzzy_a20_SR,fuzzy_a20_delta,fuzzy_a50_SR,fuzzy_a50_delta,fuzzy_a100_SR,fuzzy_a100_delta,fuzzy_a50_dt0001_SR,fuzzy_a50_dt0001_delta
29,valid,1.211421869628454,0.1636784229371888,-1.0477434466912652,0.6365328719434642,-0.5748889976849898,1.1491852096311177,-0.0622366599973363,1.2357189236795076,0.024297054051053646,1.2313074180527022,0.019885548424248167,1.2357392699386165,0.024317400310162496
30,valid,1.2121041173969198,0.163943315034183,-1.048160802362737,0.6536227671482558,-0.558481350248664,1.144347523337109,-0.06775659405981083,1.2338810240717617,0.02177690667484189,1.2301404494618586,0.01803633206493882,1.234342568136224,0.022238450739304083
31,valid,1.2121459530891388,0.1639661616617975,-1.0481797914273412,0.650862356369071,-0.5612835967200678,1.1446240243289942,-0.06752192876014451,1.2324312476993056,0.020285294610166815,1.2277496251213311,0.015603672032192373,1.2319036390914215,0.01975768600228278
32,valid,1.2124555833596256,0.1639789145350762,-1.0484766688245493,0.6542943507826844,-0.5581612325769412,1.1480988422850422,-0.06435674107458333,1.2331823402931943,0.020726756933568735,1.2263411857165316,0.013885602356906057,1.2325587468803016,0.020103163520676093
33,valid,1.2124466498076223,0.163996357079534,-1.0484502927280883,0.6599405780100556,-0.5525060717975667,1.1451913688040407,-0.06725528100358158,1.2341178961293604,0.021671246321738113,1.225686916775954,0.013240266968331804,1.2326328672672304,0.020186217459608136
34,valid,1.2124489665930946,0.1640177998410875,-1.0484311667520072,0.6168507627625942,-0.5955982038305004,1.1350208501610095,-0.07742811643208514,1.2345538819691362,0.022104915376041534,1.2244165051179734,0.011967538524878751,1.233202350824497,0.020753384231402272
35,valid,1.2128873723499858,0.1649152389407569,-1.047972133409229,0.6309704744861223,-0.5819168978638635,1.1355621742894004,-0.07732519806058535,1.2345317166904215,0.021644344340435717,1.2250591103136528,0.012171737963666995,1.2332332234699508,0.02034585111996501
36,valid,1.213663874903724,0.1651464101665676,-1.0485174647371565,0.6430904533552741,-0.5705734215484499,1.1366106849785378,-0.07705318992518628,1.2345066168004175,0.02084274189669344,1.224912748760638,0.011248873856913866,1.2330888430372622,0.019424968133538112
37,valid,1.2136903087758395,0.1655645464081932,-1.0481257623676463,0.615216005441907,-0.5984743033339325,1.13620836656531,-0.07748194221052951,1.2342051492555275,0.02051484047968799,1.2248919618741978,0.0112016530983583,1.231562851850304,0.017872543074464398
38,valid,1.213844234691195,0.1655713177645742,-1.048272916926621,0.6193860021640812,-0.5944582325271138,1.1373500997007135,-0.07649413499048152,1.2333274349674606,0.01948320027626549,1.2218826641665597,0.008038429475364595,1.2309024040125418,0.01705816932134674
39,valid,1.213378398272838,0.1656070656190977,-1.0477713326537403,0.6244748904081848,-0.5889035078646533,1.1373712733515091,-0.076007124921329,1.2330825467896918,0.019704148516853648,1.2215099230260096,0.00813152475317147,1.2303960176770836,0.01701761940424551
40,valid,1.21029117010589,0.1661566801691823,-1.0441344899367078,0.6264761055387644,-0.5838150645671256,1.122902679147475,-0.08738849095841505,1.2307903496447048,0.02049917953881475,1.2216954857984008,0.01140431569251077,1.2271750600931468,0.01688388998725676
41,valid,1.2102215012584574,0.1661727902957461,-1.0440487109627112,0.6264000541762237,-0.5838214470822337,1.1232156920017704,-0.087005809256687,1.2286569094625115,0.018435408204054093,1.2221839620827857,0.01196246082432828,1.2272003271447731,0.016978825886315718
42,valid,1.2097167713576216,0.1670942912407899,-1.0426224801168318,0.562848097840377,-0.6468686735172445,1.1241005386814396,-0.08561623267618201,1.2287489605992656,0.01903218924164407,1.221190490643835,0.011473719286213324,1.227336238774216,0.01761946741659437
43,valid,1.2090092619565618,0.1671128584387471,-1.0418964035178147,0.5696269008040467,-0.6393823611525151,1.1256299241289247,-0.08337933782763707,1.2280531497401064,0.0190438877835446,1.2232305116007574,0.014221249644195577,1.2272039338238034,0.018194671867241663
44,valid,1.20849351287233,0.1671243334832413,-1.0413691793890887,0.5986823366181985,-0.6098111762541315,1.1071769313098605,-0.10131658156246948,1.2276790772031128,0.01918556433078278,1.2243729313626948,0.015879418490364783,1.2265418460662492,0.018048333193919186
45,valid,1.208167168973297,0.1672899040513892,-1.0408772649219078,0.6054647039919802,-0.6027024649813167,1.1086468019759297,-0.09952036699736722,1.2265840658550204,0.018416896881723543,1.2243017702228796,0.01613460124958266,1.2245446947006111,0.016377525727314213
46,valid,1.2072727103617789,0.1670454974554967,-1.0402272129062822,0.606392093546701,-0.6008806168150779,1.1118417056401708,-0.09543100472160804,1.2252610708100835,0.017988360448304652,1.2227116124321613,0.015438902070382454,1.2226944995701063,0.015421789208327485
47,valid,1.2099428155470675,0.167065469549633,-1.0428773459974345,0.5992327461878098,-0.6107100693592578,1.1192370947155668,-0.09070572083150075,1.222598687758899,0.01265587221183151,1.222644118061647,0.01270130251457946,1.2201573032723414,0.01021448772527389
48,valid,1.2100069575421897,0.167112987412187,-1.0428939701300026,0.6011006196159362,-0.6089063379262535,1.1026376371814846,-0.10736932036070512,1.2204803251975254,0.010473367655335686,1.2225361164179704,0.012529158875780766,1.2192277655263863,0.009220807984196666
49,valid,1.210176931797987,0.1672419343948764,-1.0429349974031106,0.6066231499664251,-0.6035537818315618,1.1023248681452609,-0.10785206365272604,1.2162256029392708,0.0060486711412839345,1.2220436146557727,0.011866682857785804,1.2168728887777869,0.006695956979799966
50,valid,1.2102187723548716,0.1672483341612017,-1.04297043819367,0.5734133481796446,-0.636805424175227,1.1036513040351768,-0.10656746831969488,1.2126734525188223,0.0024546801639506732,1.215788639353537,0.0055698669986654625,1.2136105172558391,0.003391744900967497
