file,cv,i_l0,j_l2,py_rows,r_rows,rows_cmp,train_SR_max_abs_diff,valid_SR_max_abs_diff,test_SR_max_abs_diff,portsN_match_%,beta_max_abs_diff,status
results_cv_1_l0_8_l2_1.csv,cv_1,8,1,48,48,48,2.3216983890961274e-12,7.999712003936565e-13,1.0553780072086738e-12,100.0,1.378500091853141e-11,OK
results_cv_1_l0_8_l2_2.csv,cv_1,8,2,50,50,50,6.494582649452241e-12,8.888445535149003e-13,2.4237278850591792e-12,100.0,4.883440180014631e-11,OK
results_cv_1_l0_8_l2_3.csv,cv_1,8,3,52,52,52,8.583023181074623e-12,2.4235058404542542e-12,1.4315215679516768e-12,100.0,4.6992409963309e-11,OK
results_cv_1_l0_8_l2_4.csv,cv_1,8,4,54,54,54,4.845457368674033e-12,1.1693979118376774e-12,2.9965474546145288e-12,100.0,2.3292899998129252e-11,OK
results_cv_1_l0_8_l2_5.csv,cv_1,8,5,58,58,58,4.566680367190656e-12,1.3387069230930138e-12,2.5762725286426758e-12,100.0,2.740560556269145e-11,OK
results_cv_1_l0_8_l2_6.csv,cv_1,8,6,58,58,58,5.7519544682804735e-12,1.6216195053431193e-12,3.1047386883642503e-12,98.27586206896551,3.63118979329613e-11,OK
results_cv_1_l0_8_l2_7.csv,cv_1,8,7,64,64,64,8.934852857578335e-12,4.718309076778837e-12,3.689604177736783e-12,100.0,4.470812609014274e-11,OK
results_cv_1_l0_8_l2_8.csv,cv_1,8,8,66,66,66,5.72912828289418e-11,1.9037327270154947e-11,1.6454282381062058e-11,98.48484848484848,6.952779046942581e-10,OK
results_cv_1_l0_8_l2_9.csv,cv_1,8,9,64,64,64,1.8961276992968124e-11,2.1309065623142942e-12,7.971845406018474e-12,96.875,1.2871520516100077e-10,OK
results_cv_1_l0_8_l2_10.csv,cv_1,8,10,68,68,68,1.2490009027033011e-11,2.0426160762809786e-12,4.001687869958914e-12,98.52941176470588,9.533351885693264e-11,OK
results_cv_1_l0_8_l2_11.csv,cv_1,8,11,68,68,68,7.980727190215475e-12,1.9275137042029655e-12,4.224620653303646e-12,100.0,5.2206017286948736e-11,OK
